OBJECT A,OBJECT B,ASPECT,ASPECT BELONGS TO,MOST FREQUENT RATING,CONFIDENCE,AMOUNT OF GOOD RATINGS,AMOUNT OF BAD RATINGS,SENTENCE EXAMPLE 1,SENTENCE EXAMPLE 2,SENTENCE EXAMPLE 3,SENTENCE EXAMPLE 4,SENTENCE EXAMPLE 5
android,ios,smoother,ios,GOOD,1.0,1,0,i find ios apps are way smoother and work better than android.,its because ios and windows 8 have a better and smoother framework than android.,"6) ios is a much smoother os, and just works better, much better than the android os.",ios can run a lot smoother and apps run faster on lesser hardware than a beefed up android device.,"keep in mind that the ios 4 is more mature, solid, smoother and is easier to use than android."
android,ios,richer,ios,BAD,1.0,0,1,,,,,
android,ios,easier to develop for,ios,GOOD,1.0,1,0,ios is has a better user experience than android and it is also much easier to develop for.,ios is sooooo much easier to develop for than android.,ios is far easier to develop for than android and we always do ios first.,"the survey also found, perhaps unsurprisingly, that developers find both ios and blackberry easier to develop for than android.",
android,ios,easier to learn,ios,GOOD,1.0,1,0,i think this makes ios devices easier to learn than android devices.,,,,
android,ios,iphones,ios,BAD,1.0,0,1,"apple ios (for iphones , ipads, ipod touch) - some argue that apple's touch response is noticeably quicker and smoother than android devices, and this has only improved for the iphone 6 generation, which features sensors on the surface rather than beneath.",there's a reason why ios often looks smoother than android even on inferior processing power and that's because iphones always have top of the line gpus.,i can fix a typo... but android still sucks and is inferior to ios and apple and iphones and you can't fix that.,ios was the thing that sold iphones over superior spec android handsets.,time was people would argue ios was in a better position than android (and laugh at people who predicted android would end up beating ios) because there were more iphones being sold than android devices.
android,ios,safer,ios,GOOD,1.0,1,0,with added security in ios it really feels safer on apple devices than on android devices.,why ios is safer than android .,one reason that ios is safer than android is that bug fixes to the operating system are rolled out faster.,ios apps are generally safer than android apps.,why ios is safer than android the relative vulnerability of android vs. ios comes down to the level of control the vendors have over products and the marketplace for development and distribution of apps.
android,ios,simpler,ios,GOOD,1.0,1,0,"for me personally, ios is still easier and faster (and simpler) to use for everyday living, which is probably why my iphone 5 gets more use than my note 2 but obviously, the customization and freedom is better on android.","for managing devices in the enterprise, however, ios has been far simpler with better capabilities than android by far.","of course, the reactions are priceless, with almost everyone saying ios is better and simpler than android after praising the android-equipped iphone.","for normal people like me (no geeks wannabe) ios is simpler, faster, leaner, stable and friendly than android os up to now.",ios is a simpler os in comparison to android.
halloween,thanksgiving,households,halloween,BAD,1.0,0,1,"in a way, halloween is even better than thanksgiving (my absolute favorite holiday) because thanksgiving divides us into separate households, while halloween unites us into bands of candy bandits.",,,,
halloween,thanksgiving,lighter,halloween,BAD,1.0,0,1,the week after halloween will probably be lighter than the week before and the week after thanksgiving is probably even lighter.,,,,
halloween,thanksgiving,safer,halloween,BAD,1.0,0,1,i think halloween is actually safer than christmas and thanksgiving.,,,,
halloween,thanksgiving,greater,halloween,BAD,1.0,0,1,your halloween shipments have a greater than 20percent chance of being returned in time for thanksgiving.,"well, in a few shorts weeks it will be halloween ( armed with a candy ration far greater than the amount handed out , then thanksgiving ( feast! )",,,
halloween,thanksgiving,divides,halloween,BAD,1.0,0,1,"in a way, halloween is even better than thanksgiving (my absolute favorite holiday) because thanksgiving divides us into separate households, while halloween unites us into bands of candy bandits.",,,,
halloween,thanksgiving,bandits,halloween,BAD,1.0,0,1,"in a way, halloween is even better than thanksgiving (my absolute favorite holiday) because thanksgiving divides us into separate households, while halloween unites us into bands of candy bandits.",,,,
halloween,thanksgiving,bands,halloween,BAD,1.0,0,1,"in a way, halloween is even better than thanksgiving (my absolute favorite holiday) because thanksgiving divides us into separate households, while halloween unites us into bands of candy bandits.",,,,
halloween,thanksgiving,better to australia,thanksgiving,BAD,1.0,0,1,thanksgiving would transplant far better to australia than halloween.,,,,
halloween,thanksgiving,candy,halloween,GOOD,1.0,1,0,"in a way, halloween is even better than thanksgiving (my absolute favorite holiday) because thanksgiving divides us into separate households, while halloween unites us into bands of candy bandits.","well, in a few shorts weeks it will be halloween ( armed with a candy ration far greater than the amount handed out , then thanksgiving ( feast! )",,,
halloween,thanksgiving,easier,thanksgiving,BAD,1.0,0,1,,,,,
halloween,thanksgiving,tastier,thanksgiving,GOOD,1.0,1,0,,,,,
objective-c,swift,features,objective-c,BAD,1.0,0,1,with debug on and all safety features enabled swift is currently between 20-300x times slower than objective-c.,"dare i also say that learning objective-c may be a tad easier than swift, only because objective-c does not contain some of the more advanced features as swift such as functional patterns, generics, and advanced enumeration and collection features.",,,
objective-c,swift,enumeration,objective-c,BAD,1.0,0,1,"dare i also say that learning objective-c may be a tad easier than swift, only because objective-c does not contain some of the more advanced features as swift such as functional patterns, generics, and advanced enumeration and collection features.",,,,
objective-c,swift,safer,swift,GOOD,1.0,1,0,"swift is designed for cocoa and cocoa touch, and is meant to be easier, faster, and safer than objective-c.","apple's swift programming language faster, safer than objective-c .",i love the swift because it's safer and easier than objective-c.,"swift is intended to be more resilient to erroneous code ( safer ) than objective-c, and also more concise.","i've touched on just a couple of swift's myriad safety features, and it is clear that swift will produce safer code than is typical of c and objective-c."
objective-c,swift,generics,objective-c,BAD,1.0,0,1,"dare i also say that learning objective-c may be a tad easier than swift, only because objective-c does not contain some of the more advanced features as swift such as functional patterns, generics, and advanced enumeration and collection features.",,,,
objective-c,swift,faster,swift,GOOD,1.0,1,0,"swift is designed for cocoa and cocoa touch, and is meant to be easier, faster, and safer than objective-c.","another advancement is the introduction of swift, a much simpler, easier to use and faster programming language than objective-c, which apple had been relying on for years.","apple's swift programming language faster, safer than objective-c .","by far the more impactful news for solution providers was about  apple's swift programming language , a new development environment that it says will be faster and easier to use than objective-c.","called swift, it's meant to offer a faster, easier way to build software for apple's products than its existing programming language, objective-c."
objective-c,swift,collection,objective-c,BAD,1.0,0,1,"dare i also say that learning objective-c may be a tad easier than swift, only because objective-c does not contain some of the more advanced features as swift such as functional patterns, generics, and advanced enumeration and collection features.",,,,
objective-c,swift,easier,swift,BAD,1.0,0,1,"swift is designed for cocoa and cocoa touch, and is meant to be easier, faster, and safer than objective-c.","another advancement is the introduction of swift, a much simpler, easier to use and faster programming language than objective-c, which apple had been relying on for years.","by far the more impactful news for solution providers was about  apple's swift programming language , a new development environment that it says will be faster and easier to use than objective-c.",i love the swift because it's safer and easier than objective-c.,"but even better, swift is fundamentally simpler and easier to use than objective-c, the language that developers currently have to use to build ios and os x apps."
objective-c,swift,patterns,objective-c,BAD,1.0,0,1,"dare i also say that learning objective-c may be a tad easier than swift, only because objective-c does not contain some of the more advanced features as swift such as functional patterns, generics, and advanced enumeration and collection features.",,,,
objective-c,swift,objectivec,swift,BAD,1.0,0,1,,,,,
objective-c,swift,easier to use,swift,GOOD,1.0,1,0,"another advancement is the introduction of swift, a much simpler, easier to use and faster programming language than objective-c, which apple had been relying on for years.","by far the more impactful news for solution providers was about  apple's swift programming language , a new development environment that it says will be faster and easier to use than objective-c.","but even better, swift is fundamentally simpler and easier to use than objective-c, the language that developers currently have to use to build ios and os x apps.",,
objective-c,swift,smoother,swift,BAD,1.0,0,1,"in other words, ios and os x apps built with swift should run even smoother and faster than counterparts made with the tried and true objective-c.","even if you don't know what those terms mean, it's easy to pick up that apps ios and os x developers build with swift should run even smoother and faster than counterparts made with the objective-c language they've been using.",,,
objective-c,swift,faster to execute,swift,GOOD,1.0,1,0,,,,,
objective-c,swift,simpler,swift,GOOD,1.0,1,0,"another advancement is the introduction of swift, a much simpler, easier to use and faster programming language than objective-c, which apple had been relying on for years.","but even better, swift is fundamentally simpler and easier to use than objective-c, the language that developers currently have to use to build ios and os x apps.",swift does appear simpler than objective-c.,swift's operator precedences and associativity rules are simpler and more predictable than those found in c and objective-c.,"swift is simpler than objective-c and allows users to see their code in action as they write it on their computer screens, rather than running it through a compiler before checking it out."
objective-c,swift,easier to use and faster programming language,swift,GOOD,1.0,1,0,"another advancement is the introduction of swift, a much simpler, easier to use and faster programming language than objective-c, which apple had been relying on for years.",,,,
objective-c,swift,easier to read,swift,GOOD,1.0,1,0,"swift is marginally easier to read than objective-c, sure.",,,,
michigan,virginia,faster,michigan,BAD,1.0,0,1,"trees from lower michigan and wisconsin have grown faster, and trees from iowa, virginia, and west virginia have grown slower than would have been expected from the latitude of their provenance.","from 2012, the year michigan passed right-to-work, until mid-2015, incomes in michigan rose over nine percent faster than west virginia and the national average,  vernuccio and hart wrote.","from 2012, the year michigan passed right-to-work, until mid-2015, incomes in michigan rose over nine percent faster than west virginia and the national average,  vernuccio and hart wrote.","the michigan men's rowing team finished faster than top-seed virginia, but not fast enough for first place in the collegiate men's eights race at the head of the charles regatta in cambridge, mass.",
michigan,virginia,greater,michigan,BAD,1.0,0,1,"nice analysis, although i'm surprised that you think michigan has a greater chance of switching than virginia.","and clearly, the distance between the michigan and appalachian state programs in 2007 is greater than the distance between the virginia tech and temple programs in 1998.","the average professional salary at the university of michigan (35 th in the arl survey) is nearly $4,000 greater than at unc-ch, and at the university of virginia (25 th in the survey) the difference rises to nearly $6,000.",,
michigan,virginia,tier,virginia,BAD,1.0,0,1,"so even if virginia was a better candidate for tier 1 than michigan because of its size, michigan is probably the other public law school in this tier.",,,,
michigan,virginia,easier,virginia,BAD,1.0,0,1,,,,,
michigan,virginia,easier to get a top recruit to michigan,virginia,BAD,1.0,0,1,,,,,
michigan,virginia,easier to generate a big white swing in virginia,michigan,BAD,1.0,0,1,"voters in those states are flightier than in wisconsin, michigan and pennsylvania: it would be easier to generate a big white swing in virginia than a small one in pennsylvania.",,,,
michigan,virginia,west,virginia,BAD,1.0,0,1,"at west virginia we had better facilities than they had at michigan,  patrick beilein recalls.",maybe because he was at michigan he felt he had to push even harder than he ever did at west virginia.,"since 2000, west virginia's population is up by 2.6 percent - modest growth, but better than states like michigan and rhode island.","the florida/arkansas winner and west virginia are much better choices than michigan for the title game, too.",got granholmed out of the state because working in virginia is far better than not working in western michigan.
michigan,virginia,flightier,michigan,BAD,1.0,0,1,"voters in those states are flightier than in wisconsin, michigan and pennsylvania: it would be easier to generate a big white swing in virginia than a small one in pennsylvania.",,,,
michigan,virginia,size,virginia,GOOD,1.0,1,0,"so even if virginia was a better candidate for tier 1 than michigan because of its size, michigan is probably the other public law school in this tier.",,,,
michigan,virginia,law,virginia,BAD,1.0,0,1,"so even if virginia was a better candidate for tier 1 than michigan because of its size, michigan is probably the other public law school in this tier.",,,,
michigan,virginia,school,virginia,BAD,1.0,0,1,"so even if virginia was a better candidate for tier 1 than michigan because of its size, michigan is probably the other public law school in this tier.",,,,
basketball,hockey,ties,basketball,BAD,1.0,0,1,"talking about hockey again, even if it was just to talk about how hockey is inferior to basketball because of ties or something.","basketball in china is hugely popular and the nba has made faster progress in developing a fan base and business opportunities than other american sports such as baseball, football and ice hockey.",,,
basketball,hockey,minutes,basketball,BAD,1.0,0,1,,,,,
basketball,hockey,ball,basketball,BAD,1.0,0,1,any hockey oval bowl shape is going to be inherently inferior to one meant for basketball.,basketball is way better than hockey.,"talking about hockey again, even if it was just to talk about how hockey is inferior to basketball because of ties or something.",my hockey team was worse than my basketball team.,"this is why the better team wins any given basketball game with far greater frequency than it does in baseball, football or hockey."
basketball,hockey,easier to deal with,basketball,BAD,1.0,0,1,,,,,
basketball,hockey,cheaper,basketball,GOOD,1.0,1,0,"basketball is cheaper to play and easier to learn than baseball or hockey, and it's only getting more popular worldwide.","baseball, soccer, basketball and football span much larger fan bases because they're cheaper to play so more people have played them, and on account of that more people understand those sports better than they understand hockey.",,,
basketball,hockey,ovechkin,basketball,BAD,1.0,0,1,,,,,
basketball,hockey,stick,basketball,BAD,1.0,0,1,,,,,
basketball,hockey,hands,basketball,BAD,1.0,0,1,,,,,
basketball,hockey,puck,basketball,BAD,1.0,0,1,,,,,
basketball,hockey,player,basketball,BAD,1.0,0,1,basketball players get treated better than golfers and field hockey players.,it's why i maintain that basketball players are in better shape than hockey players.,"not by their basketball skills - they're better hockey players than they are basketball players - but impressed that they were outside, being active.",because the impact of one single player in the sport of basketball is greater than that in hockey or football.,"basketball is wayyy better than hockey: learn to put skates on and walk (skate) on ice and bam, u got ur self a hockey player."
basketball,hockey,safer,hockey,GOOD,1.0,1,0,"my opinion is that hockey is safer than basketball, soccer or baseball.","play hockey, it's safer than basketball:  more than 30 percent of dentists report that basketball was the sport that resulted in the most dental injuries for their patients.",,,
basketball,hockey,bigger,hockey,BAD,1.0,0,1,,,,,
basketball,hockey,team,hockey,BAD,1.0,0,1,"he has played for two years with team usa, and says sled hockey is definitely faster than his other sport, wheelchair basketball.","and on a basketball team, a poor draft pick (or trade or free agent signing) is harder to hide than on a hockey team.","the school's hockey team will have an easier route to the final four than the basketball team, because the skaters need to win only one more game.",a basketball team in newark wouldn't really fare any better than a hockey team because there are just more dominant teams in the area.,the michigan hockey team finished february with a better record (4-2) than the basketball team (3-4) but the wolverines have unfinished business remaining.
basketball,hockey,faster,hockey,BAD,1.0,0,1,"he has played for two years with team usa, and says sled hockey is definitely faster than his other sport, wheelchair basketball.","interestingly, a deep joint research study showed that although ice hockey is much faster paced and more aggressive than basketball, many of the building blocks needed to develop the trainer were found to be similar.",,,
basketball,hockey,greater,hockey,BAD,1.0,0,1,umass students explain why hockey attendance is greater than basketball .,this is qualified of suiting around eight thousand viewers for a hockey suit or greater than 10 thousand for basketball.,wayne gretzky exceeds the benchmark of outstanding performance in hockey by a far greater margin than jordan does for basketball.,"these tell us that playing hockey gives a greater chance of injury/head injury than other sports, such as soccer and basketball.","the learning curve for enjoying and understanding hockey on tv is just greater than the learning curve for baseball, basketball and football ."
basketball,hockey,better for hockey,hockey,BAD,1.0,0,1,"they also had north america versus the world in hockey, but again, that works better for hockey than it does for basketball.",,,,
basketball,hockey,easier to change one coach,hockey,GOOD,1.0,1,0,,,,,
basketball,hockey,easier to hide,hockey,BAD,1.0,0,1,,,,,
basketball,hockey,skaters,hockey,BAD,1.0,0,1,"the school's hockey team will have an easier route to the final four than the basketball team, because the skaters need to win only one more game.",,,,
basketball,hockey,game,hockey,BAD,1.0,0,1,scott realized late in life that  hockey is a better game than basketball.,"so watching 5 hockey analysts sitting down at a table, on mute is better than watching a basketball game.","we will disagree on our opinions of the action on the court and rink, but the environment in the seats of a hockey game is far superior to that of a basketball game.","i like ice hockey and football much better than this game, but bowling is better than golf , home run , and it's on about the same level as basketball.","i like ice hockey and football much better than this game, but bowling is better than golf, home run, and it's on about the same level as basketball."
dell,sony,easier to deal with,dell,GOOD,1.0,1,0,i find the people at nec and dell are much easier to deal with than those at sony.,,,,
dell,sony,easier,dell,BAD,1.0,0,1,i find the people at nec and dell are much easier to deal with than those at sony.,,,,
dell,sony,lighter,sony,BAD,1.0,0,1,"it's heavier than the sony vaio t ultrabook, and lighter than the new dell inspiron 14z.","70% sony svt13114gxx source: pc world the vaio may be smaller, lighter, and thinner than the dell latitude e6330, but it just doesn't match up in performance or usability.",,,
dell,sony,bigger,sony,GOOD,1.0,1,0,,,,,
dell,sony,thinner,sony,GOOD,1.0,1,0,"70% sony svt13114gxx source: pc world the vaio may be smaller, lighter, and thinner than the dell latitude e6330, but it just doesn't match up in performance or usability.",,,,
dell,sony,larger,sony,GOOD,1.0,1,0,"like the sony vaio vgn-cr11sr/p , the satellite u300-111 comes with a larger amount of system memory and is thus superior to the dell.",,,,
dell,sony,more for the superior dell xps 12,sony,BAD,1.0,0,1,,,,,
dell,sony,heavier,sony,GOOD,1.0,1,0,"it's heavier than the sony vaio t ultrabook, and lighter than the new dell inspiron 14z.","for what its worth, most of the dell machines i've seen that are portable are heavier, slower and less reliable than the competition (ibm, sony, etc.) but the screens are actually half decent if you can secure the operating system.",,,
dell,sony,cheaper,sony,GOOD,1.0,1,0,,,,,
dell,sony,brighter,sony,GOOD,1.0,1,0,,,,,
chrysler,ford,applications,chrysler,BAD,1.0,0,1,[jim wrote this response to some newsgroup members who maintained that the chrysler hemi was obviously superior to the sohc ford because it is still used in modern fuel racing applications.,,,,
chrysler,ford,minivans,chrysler,BAD,1.0,0,1,"the chrysler minivan truly was vastly superior to any wagon from a packaging standpoint and its success was well earned, the rwd competitors from ford/gm/toyota/etc were inferior, all-around awful vehicles, but they still sold well precisely because they weren't minivans.",,,,
chrysler,ford,racing,chrysler,BAD,1.0,0,1,[jim wrote this response to some newsgroup members who maintained that the chrysler hemi was obviously superior to the sohc ford because it is still used in modern fuel racing applications.,,,,
chrysler,ford,higher,chrysler,GOOD,1.0,1,0,"drivetrain due to its much higher torque, the engine of the chrysler 200 does a much better job of transmitting power to the wheels than the ford focus.","drivetrain due to its much higher torque, the engine of the chrysler 300 does a much better job of transmitting power to the wheels than the ford fusion energi.","drivetrain due to its much higher torque, the chrysler town and country does a much better job of transmitting its engine's horsepower to its wheels than the ford transit connect.",,
chrysler,ford,fuel,chrysler,GOOD,1.0,1,0,[jim wrote this response to some newsgroup members who maintained that the chrysler hemi was obviously superior to the sohc ford because it is still used in modern fuel racing applications.,"chrysler group llc, whose u.s. pickup sales are growing faster than ford motor co. (f) and general motors co. (gm) 's, is considering added production as the automaker readies its new 1500 light-duty truck with better fuel economy.","if chrysler 's claim that the v-6 ram with torqueflite 8-speed automatic gets better fuel economy than the ecoboost v-6 ford f-150 , it will be a very significant new truck.",,
chrysler,ford,motor,chrysler,GOOD,1.0,1,0,chrysler and general motors had better drum brakes than ford.,the chrysler-dodge 4 cylinder motors found in their cars from mid-70's were far superior to the gm or ford offerings.,"under those rules, chrysler won every race, because their hemi was a much better motor than the chevy or ford.","chrysler group llc, whose u.s. pickup sales are growing faster than ford motor co. (f) and general motors co. (gm) 's, is considering added production as the automaker readies its new 1500 light-duty truck with better fuel economy.","chrysler 300, the large sedan offered by the fiat-owned carmaker, obtained a better rating than rivals from general motors and ford."
chrysler,ford,horsepower to its wheels,chrysler,GOOD,1.0,1,0,"drivetrain due to its much higher torque, the chrysler town and country does a much better job of transmitting its engine's horsepower to its wheels than the ford transit connect.",,,,
chrysler,ford,hemi,chrysler,BAD,1.0,0,1,i hear those hemi chrysler engines are far better in performance and reliability than any ford or g.m. engine.,[jim wrote this response to some newsgroup members who maintained that the chrysler hemi was obviously superior to the sohc ford because it is still used in modern fuel racing applications.,"under those rules, chrysler won every race, because their hemi was a much better motor than the chevy or ford.",,
chrysler,ford,thier,chrysler,BAD,1.0,0,1,"i notice when i end up with a chrysler rental, even with high miles, they are holding up better than thier gm and ford counterparts.",,,,
chrysler,ford,horsepower,chrysler,GOOD,1.0,1,0,"drivetrain due to its much higher torque, the chrysler town and country does a much better job of transmitting its engine's horsepower to its wheels than the ford transit connect.",,,,
chrysler,ford,greater,ford,GOOD,1.0,1,0,"ford has greater cash reserves than gm and chrysler, and asked the government to extend a $9 billion credit line that it would tap only if the u.s. recession proves worse than expected or one of its competitors fails.",fact is sales of cars by gm and ford are up greater amounts than brands from foreign mfg's other than chrysler.,"ford did this better than gm or chrysler, and as a result, had every right to expect to be rewarded for doing so with the greater market share that comes when a competitor fails.",the ford fusion will be a favorite with taller drivers due to its greater front head- and legroom than the chrysler 200.,the ford fusion energi will be a favorite with taller drivers due to its greater front head- and legroom than the chrysler 300.
chrysler,ford,gm,ford,BAD,1.0,0,1,"the ford line of products has never been better, in fact, the ford line is superior to any gm or chrysler product.",ford quality then was superior to gm or chrysler.,ford has planned better than gm and chrysler.,"sure, like ford is any better then gm or chrysler.","ford ceo mulally: we're in better shape than gm, chrysler ."
chrysler,ford,bigger,ford,GOOD,1.0,1,0,,,,,
chrysler,ford,lighter,ford,GOOD,1.0,1,0,"i painted my 390 dark ford blue (got the paint from ford even), and it's lighter than the corporate and darker than a powder blue or chrysler blue.","it was bad enough that the gm offerings were lighter than the fords, but the chrysler products with their uni-body construction were in a different league while remaining in the same class.","the ford small-block is the preferred engine for such swaps, since it's smaller and lighter than its chevy and chrysler counterparts, but sometimes you see such a great deal on a used engine that you have no choice but to buy it.",,
chrysler,ford,easier,ford,BAD,1.0,0,1,"if they aren't, then chrysler is no better than ford imo(the fusion still has an abs option on its fusion sedan...seems like it'd be easier to make that standard).","if you go with the ford fiesta, you'll have a much easier time finding a large enough space to park than you will with the chrysler 200.","if you go with the ford focus, you'll have a much easier time finding a large enough space to park than you will with the chrysler 200.","if you go with the ford transit connect, you'll have a much easier time finding a large enough space to park than you will with the chrysler town and country.",
chrysler,ford,safer,ford,GOOD,1.0,1,0,"if you wanted to buy a new car in december, ford seemed to be a safer choice than gm and chrysler,  toprak said.","bottom line if you're looking to play the automotive industry's rebound, i think ford and gm are a much safer bet than chrysler -- and have a lot of upside remaining.",,,
chrysler,ford,curve,ford,BAD,1.0,0,1,ford had the chance to restructure faster because they were smaller and slightly ahead of the curve than chrysler and gm.,"ford faired a little better as they were a little further down the curve than gm and chrysler, but not by much.",,,
chrysler,ford,assets,ford,GOOD,1.0,1,0,ford is in better shape than gm or chrysler because it had already mortgaged its assets in 2006 to raise $24.5 billion.,"ford appears to be in better shape than gm and chrysler, in large part because it mortgaged almost all of its assets in 2006 to raise $24.5 billion.",,,
chrysler,ford,look,ford,GOOD,1.0,1,0,and ford is looking better than chrysler now too.,"ford fairing better than general motors and chrysler, not going through bankruptcy but still thousands of lay-offs at ford so the outlook hopeful.",in almost every other respect the end of decade ford product lineup looks much better than either gm or chrysler offerings.,"bottom line if you're looking to play the automotive industry's rebound, i think ford and gm are a much safer bet than chrysler -- and have a lot of upside remaining.","ford does a lot of things better than chrysler, but chrysler does have a nice edge if you are looking for a big roomy car with a powerful engine without spending luxury car bucks."
chrysler,ford,government,ford,BAD,1.0,0,1,"ford has greater cash reserves than gm and chrysler, and asked the government to extend a $9 billion credit line that it would tap only if the u.s. recession proves worse than expected or one of its competitors fails.","that doesn't mean that ford is out of the woods, but they're doing a far sight better than government motors and chrysler.",this despite the fact that ford is burdened with a much greater debt burden than chrysler and gm for whom the federal government rolled its bondholders.,"ford  will be better off than gm and chrysler, and they won't have the government telling them what they can or cannot make,  he said.","ford came out of the financial crisis much better than its u.s. rivals general motors co ( gm.n ) and chrysler group llc chry.ul, who both went into bankruptcy and had to be rescued by the u.s. government."
ford,honda,greater,ford,GOOD,1.0,1,0,the ford fusion will be a favorite with taller drivers due to its greater front head- and legroom than the honda accord.,the ford mustang will be a favorite with taller drivers due to its greater front head- and legroom than the honda accord.,the ford fiesta will be a favorite with taller drivers due to its greater front head- and legroom than the honda fit.,the ford fusion hybrid will be a favorite with taller drivers due to its greater front head- and legroom than the honda accord.,the ford fusion will be a favorite with taller drivers due to its greater front head- and legroom than the honda civic hybrid.
ford,honda,easier,ford,BAD,1.0,0,1,"if you go with the ford fiesta, you'll have a much easier time finding a large enough space to park than you will with the honda civic.","if you go with the ford focus st, you'll have a much easier time finding a large enough space to park than you will with the honda accord.","if you go with the ford transit connect, you'll have a much easier time finding a large enough space to park than you will with the honda odyssey.","if you go with the ford c-max hybrid, you'll have a much easier time finding a large enough space to park than you will with the honda accord.",overall difficulty of installation in a jetta 1.8t with factory monsoon system was more difficult than in an '02 ford escape and easier than in an '05 honda odyssey.
ford,honda,longer,ford,GOOD,1.0,1,0,ford these days have extremely well-engineered products that are no longer inferior to honda or toyota.,"when we go on longer highway trips, the car averages closer to 47-50 mpgs so we are getting more than double our old ford explorer and about 40% better than our honda civic was.",,,
ford,honda,feature,ford,BAD,1.0,0,1,"the hyundai tucson crossover suv features more interior room than the ford escape without sacrificing standard amenities such as 17-inch alloy wheels and a turning radius of 34.7, better than the toyota rav 4 and honda cr-v.","the us automaker's ford fiesta  van  (ok, it's  car-derived  from a really small car) starts sales in europe this month, and features some fuel economy figures far better suited for a honda civic than an econoline.","you, rightly amazed by this, went out and bought a ford because this feature made it a better buy than a similar cost / spec car from gm or honda... and that this feature really was the thing that sealed the deal.",,
ford,honda,lighter,ford,GOOD,1.0,1,0,"it feels more oafish than passenger-car-based utes such as the ford escape xlt v-6 (759 pounds lighter), the honda cr-v se (989 pounds lighter), and the toyota rav4 (1136 pounds lighter).","from the 2015 ford f-150's nearly all-aluminum body to a mercedes-benz c-class that simultaneously grew larger and lighter to the honda fit subcompact, automakers showed they are working harder than ever to reduce the weight of every new vehicle they introduce.",,,
ford,honda,bigger,ford,GOOD,1.0,1,0,,,,,
ford,honda,sister,ford,BAD,1.0,0,1,ford (or sister division mercury) is a much better value than toyota or honda for buy and hold consumers.,,,,
ford,honda,better for america,ford,GOOD,1.0,1,0,buying a ford f-150 is better for america than buying a honda fit made in japan.,,,,
ford,honda,higher,ford,GOOD,1.0,1,0,"drivetrain due to its much higher torque, the engine of the ford fusion does a much better job of transmitting power to the wheels than the honda accord.","drivetrain due to its much higher torque, the engine of the ford mustang does a much better job of transmitting power to the wheels than the honda accord.","drivetrain due to its much higher torque, the engine of the ford taurus does a much better job of transmitting power to the wheels than the honda accord hybrid.","drivetrain due to its much higher torque, the engine of the ford fusion does a much better job of transmitting power to the wheels than the honda accord hybrid.","drivetrain due to its much higher torque, the engine of the ford focus st does a much better job of transmitting power to the wheels than the honda accord."
ford,honda,easier to rate workers,ford,BAD,1.0,0,1,,,,,
ford,honda,quicker,honda,GOOD,1.0,1,0,it's slower than the toyota camry hybrid and honda accord hybrid - both of which hit 60 mph in 7.1 seconds - but slightly quicker than the ford fusion hybrid.,"it's quicker than a honda cr-v or a rogue and better planted, too, though it lacks the athletic ride and steering of a ford escape (and the compromises that brings).",,,
ford,honda,smoother,honda,GOOD,1.0,1,0,"the honda has a superb diesel engine, it is just so much smoother and more quiet than the corresponding rivals from vauxhall, vw, mazda, ford, renault and so on.",,,,
ford,honda,vehicles,honda,BAD,1.0,0,1,"i will stick to japanese brands forever, i also own honda and nissan vehicles: superior to ford in most ways.",no one who knows anything about vehicles would say that honda or toyota are better than ford or gm today.,"yes, my truck is american, but overall i believe toyota, honda, and mercedes make better vehicles than ford, gm, or chrysler.","because small cars like the honda civic, vw jetta, and toyota corolla, which get pretty good gas mileage, are much safer than big vehicles like the dodge ram, ford ranger, or chevy s-10.",
ford,honda,cheaper,honda,GOOD,1.0,1,0,honda used to have the superior interior while ford and gm had uninspiring and cheaper looking interiors.,,,,
ford,honda,faster to 60 and 05 second faster in the quarter,honda,BAD,1.0,0,1,,,,,
ford,honda,faster,honda,GOOD,1.0,1,0,"the rx 400h goes from 0 to 60mph in 7.3 seconds, a hair slower than the honda accord hybrid but faster than the ford escape hybrid.","mazda's gains were below toyota, honda and subaru, but came in at a faster clip than nissan, ford and gm.",i think honda fixes problems much faster than ford because my example of engine stalling problems is still happening after 2 1/2 years of sales.,"franchitti's team kool green reynard-honda was just fractionally faster than brack's lola-ford, and he was able to inch away, increasing his lead over brack by two or three tenths of second on each lap.",
ford,honda,larger,honda,GOOD,1.0,1,0,"ft.), than the larger honda civic and toyota corolla, and the hatchback and sedan offer better rear-seat room than ford fiesta.","ft. / 422 l), than the larger honda civic and toyota corolla, and the hatchback and sedan offer better rear-seat room than ford fiesta.","the honda insight has better fuel economy and a lower price tag-about $5,000 less-than larger competing hybrids: the toyota camry hybrid and ford fusion hybrid .",,
ford,honda,simpler,honda,GOOD,1.0,1,0,"honda's hybrid system is simpler than the more common setups used by toyota, ford and others.",,,,
ford,honda,easier to drive,honda,GOOD,1.0,1,0,,,,,
ford,honda,taller,honda,GOOD,1.0,1,0,,,,,
apple,intel,system,apple,BAD,1.0,0,1,"as apple releases faster intel processors and better systems, i'm sure sooner than later gaming on the mac platform is going to be not much different than on pc.",and apple is the winner because apple has a closed system that's viewed as being superior to a microsoft/intel system which is what every pc is.,"importantly, apple can now boast that its systems are significantly faster than competing intel pentium mmx systems.","at this stage, even though the apple ii was far superior to intel pc's, people didn't want to ditch all of their current hardware and software for a new system with a superior architecture, but very little software.",i am new to apple but i found this new system based on the duel g5 to be faster than the intel and amd.
